,Área,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Administración y Comercio,35624.0,101938.0,90228
1,Agropecuaria,4739.0,4808.0,17783
2,Arte y Arquitectura,1704.0,23781.0,27788
3,Ciencias Básicas,958.0,558.0,17142
4,Ciencias Sociales,3148.0,29300.0,72409
5,Derecho,1135.0,1542.0,39537
6,Educación,17492.0,35762.0,83488
7,Humanidades,68.0,1389.0,8063
8,Salud,28500.0,41782.0,155259
9,Tecnología,43409.0,133850.0,152111
10,Sin área definida,,,1432
11,Total general,136777.0,374710.0,665240
