,Tipo de universidad ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% de variación 2008 - 2017,% de variación 2013 - 2017,% de variación 2016 - 2017
0,U. Cruch Estatales ,3781,3398,4110,3228,3389,3362,3347,3311,3549,3156,=(K45-B45)/B45,=(K45-G45)/G45,=(K45-J45)/J45
1,Doctorado,389,333,396,353,376,354,366,370,384,426,=(K46-B46)/B46,=(K46-G46)/G46,=(K46-J46)/J46
2,Magíster,3392,3065,3714,2875,3013,3008,2981,2941,3165,2730,=(K47-B47)/B47,=(K47-G47)/G47,=(K47-J47)/J47
3,U. Cruch Privadas ,2324,2948,2563,2738,2487,2737,2716,3099,3420,3385,=(K48-B48)/B48,=(K48-G48)/G48,=(K48-J48)/J48
4,Doctorado,332,311,362,436,359,380,409,479,514,514,=(K49-B49)/B49,=(K49-G49)/G49,=(K49-J49)/J49
5,Magíster,1992,2637,2201,2302,2128,2357,2307,2620,2906,2871,=(K50-B50)/B50,=(K50-G50)/G50,=(K50-J50)/J50
6,U. Privadas,4193,4016,5292,5475,5841,7824,7496,6892,6850,7462,=(K51-B51)/B51,=(K51-G51)/G51,=(K51-J51)/J51
7,Doctorado,171,81,83,131,135,233,169,130,127,116,=(K52-B52)/B52,=(K52-G52)/G52,=(K52-J52)/J52
8,Magíster,4022,3935,5209,5344,5706,7591,7327,6762,6723,7346,=(K53-B53)/B53,=(K53-G53)/G53,=(K53-J53)/J53
9,Total general,10298,10362,11965,11441,11717,13923,13559,13302,13819,14003,=(K54-B54)/B54,=(K54-G54)/G54,=(K54-J54)/J54
