,Tipo de institución y jornada,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% de variación 2008 - 2017,% de variación 2013 - 2017,% de variación 2016 - 2017
0,Centros de Formación Técnica,47056.0,53202.0,63115.0,64035.0,62584,64724,65941,63551,59423,60034,=(K120-B120)/B120,=(K120-G120)/G120,=(K120-J120)/J120
1,Diurno,28050.0,32412.0,36848.0,36276.0,34204,35210,36369,35889,34681,36308,=(K121-B121)/B121,=(K121-G121)/G121,=(K121-J121)/J121
2,Vespertino,18652.0,20487.0,25286.0,27270.0,27418,28913,28903,26623,24084,22765,=(K122-B122)/B122,=(K122-G122)/G122,=(K122-J122)/J122
3,Semipresencial,138.0,202.0,939.0,426.0,425,181,282,267,263,340,=(K123-B123)/B123,=(K123-G123)/G123,=(K123-J123)/J123
4,A Distancia,,,,63.0,147,113,279,706,371,400,n/a,=(K124-G124)/G124,=(K124-J124)/J124
5,Otro,216.0,101.0,42.0,,390,307,108,66,24,221,=(K125-B125)/B125,=(K125-G125)/G125,=(K125-J125)/J125
6,Institutos Profesionales,68712.0,81182.0,95186.0,105562.0,111783,126264,128343,124380,123220,119632,=(K126-B126)/B126,=(K126-G126)/G126,=(K126-J126)/J126
7,Diurno,40662.0,45678.0,52967.0,54923.0,55975,63737,64378,62115,61754,61472,=(K127-B127)/B127,=(K127-G127)/G127,=(K127-J127)/J127
8,Vespertino,27174.0,32631.0,39934.0,47215.0,52185,58146,57558,54770,51358,46077,=(K128-B128)/B128,=(K128-G128)/G128,=(K128-J128)/J128
9,Semipresencial,,62.0,67.0,736.0,966,1959,2402,1338,1555,1660,n/a,=(K129-G129)/G129,=(K129-J129)/J129
10,A Distancia,736.0,822.0,1073.0,1327.0,1411,2384,3958,6134,8502,10363,=(K130-B130)/B130,=(K130-G130)/G130,=(K130-J130)/J130
11,Otro,140.0,1989.0,1145.0,1361.0,1246,38,47,23,51,60,=(K131-B131)/B131,=(K131-G131)/G131,=(K131-J131)/J131
12,Universidades,137196.0,147263.0,156702.0,158744.0,158461,152012,147349,150036,155460,155543,=(K132-B132)/B132,=(K132-G132)/G132,=(K132-J132)/J132
13,Diurno,113135.0,118854.0,126790.0,127705.0,128933,123537,121839,123881,128569,129463,=(K133-B133)/B133,=(K133-G133)/G133,=(K133-J133)/J133
14,Vespertino,22432.0,24837.0,26422.0,26556.0,24745,26262,24184,24719,23796,22804,=(K134-B134)/B134,=(K134-G134)/G134,=(K134-J134)/J134
15,Semipresencial,155.0,63.0,125.0,178.0,219,295,298,456,391,622,=(K135-B135)/B135,=(K135-G135)/G135,=(K135-J135)/J135
16,A Distancia,569.0,656.0,591.0,387.0,298,619,871,682,618,525,=(K136-B136)/B136,=(K136-G136)/G136,=(K136-J136)/J136
17,Otro,905.0,2853.0,2774.0,3918.0,4266,1299,157,298,2086,2129,=(K137-B137)/B137,=(K137-G137)/G137,=(K137-J137)/J137
18,Total general,252964.0,281647.0,315003.0,328341.0,332828,343000,341633,337967,338103,335209,=(K138-B138)/B138,=(K138-G138)/G138,=(K138-J138)/J138
