,Tipo de universidad,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% incremento 2007 - 2016,% incremento 2012 - 2016,% incremento 2015 - 2016
0,Universidades Estatales CRUCH,8640,10810,10714,12675,11317,14249,14823,14867,13807,13807,=(K32-B32)/B32,=(K32-G32)/G32,=(K32-J32)/J32
1,Doctorado,1303,1527,1568,1756,1764,2028,2029,2163,2223,2372,=(K33-B33)/B33,=(K33-G33)/G33,=(K33-J33)/J33
2,Magíster,7337,9283,9146,10919,9553,12221,12794,12704,11584,11435,=(K34-B34)/B34,=(K34-G34)/G34,=(K34-J34)/J34
3,Universidades Privadas CRUCH,6602,7183,8183,8838,8715,8944,9359,10327,10571,11832,=(K35-B35)/B35,=(K35-G35)/G35,=(K35-J35)/J35
4,Doctorado,1519,1536,1560,1798,1951,1980,2074,2187,2342,2564,=(K36-B36)/B36,=(K36-G36)/G36,=(K36-J36)/J36
5,Magíster,5083,5647,6623,7040,6764,6964,7285,8140,8229,9268,=(K37-B37)/B37,=(K37-G37)/G37,=(K37-J37)/J37
6,Universidades Privadas,5451,8081,9460,11872,14370,18008,22544,21612,20999,21945,=(K38-B38)/B38,=(K38-G38)/G38,=(K38-J38)/J38
7,Doctorado,207,566,610,501,337,463,550,575,607,609,=(K39-B39)/B39,=(K39-G39)/G39,=(K39-J39)/J39
8,Magíster,5244,7515,8850,11371,14033,17545,21994,21037,20392,21336,=(K40-B40)/B40,=(K40-G40)/G40,=(K40-J40)/J40
9,Total general,20693,26074,28357,33385,34402,41201,46726,46806,45377,47584,=(K41-B41)/B41,=(K41-G41)/G41,=(K41-J41)/J41
