,Condición de acreditación*,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,% de variación 2010-2019,% de variación 2015 - 2019,% de variación 2018 - 2019
0,Acreditada,607459,661901,718732,808264,918315,956917,1006008,1002126,1036885,1075491,1063268,1085416,1100603,=(N428-E428)/E428,=(N428-J428)/J428,=(N428-M428)/M428
1,Centros de Formación Técnica,51249,59385,69847,83548,94236,98091,114109,127311,133753,130906,120218,120251,125977,=(N429-E429)/E429,=(N429-J429)/J429,=(N429-M429)/M429
2,Institutos Profesionales,132473,139209,159600,196132,230481,262305,294847,306148,328664,332411,320670,329624,333207,=(N430-E430)/E430,=(N430-J430)/J430,=(N430-M430)/M430
3,U. Cruch Estatal,150022,152647,154296,153887,159643,158192,166232,169614,171384,174242,177403,184004,183358,=(N431-E431)/E431,=(N431-J431)/J431,=(N431-M431)/M431
4,U. Cruch Privada,101031,107609,113271,119524,123054,124799,129501,131781,133564,138613,141039,144287,172223,=(N432-E432)/E432,=(N432-J432)/J432,=(N432-M432)/M432
5,U. Privadas,172684,203051,221718,255173,310901,313530,301319,267272,269520,299319,303938,307250,283689,=(N433-E433)/E433,=(N433-J433)/J433,=(N433-M433)/M433
6,U. (* Carrera en Convenio),,,,,,,,,,,,,2149,n/a,n/a,n/a
7,No Acreditada,140885,121448,130608,129994,96762,107899,108269,142255,129021,102989,114024,102398,93708,=(N435-E435)/E435,=(N435-J435)/J435,=(N435-M435)/M435
8,Centros de Formación Técnica,35589,36506,40160,45018,44338,41940,30256,20699,12787,10805,16559,16270,10889,=(N436-E436)/E436,=(N436-J436)/J436,=(N436-M436)/M436
9,Centros de Formación Técnica Estatales,,,,,,,,,,,,209,1074,n/a,n/a,=(N437-M437)/M437
10,Institutos Profesionales,23651,23639,29997,28169,30211,31214,29732,44856,44507,48577,54039,43480,46249,=(N438-E438)/E438,=(N438-J438)/J438,=(N438-M438)/M438
11,U. Cruch Estatal,14632,10840,9360,8397,,,,,,,528,1527,2570,=(N439-E439)/E439,n/a,=(N439-M439)/M439
12,Universidades Privadas,67013,50463,51091,48410,22213,34745,48281,76700,71727,43607,42898,40912,32926,=(N440-E440)/E440,=(N440-J440)/J440,=(N440-M440)/M440
13,Total general,748344,783349,849340,938258,1015077,1064816,1114277,1144381,1165906,1178480,1177292,1187814,1194311,=(N441-E441)/E441,=(N441-J441)/J441,=(N441-M441)/M441
14,% de matrícula en Instituciones acreditadas,=B428/B441,=C428/C441,=D428/D441,=E428/E441,=F428/F441,=G428/G441,=H428/H441,=I428/I441,=J428/J441,=K428/K441,=L428/L441,=M428/M441,=N428/N441,,,
15,*Considera la comparación por tipo de institución distinguiendo por situación de acreditación institucional (a mayo de cada año).,,,,,,,,,,,,,,,,
