,Tipo de institución y grado,2010,2011,2012,2013,2014,% incremento 2010 - 2014,% incremento 2013 - 2014
0,CENTROS DE FORMACIÓN TÉCNICA,128571,138635,140048,144383,147984,=(F21-B21)/B21,=(F21-E21)/E21
1,Pregrado,128566,138574,140031,144365,147982,=(F22-B22)/B22,=(F22-E22)/E22
2,Postitulo,5,61,17,18,2,=(F23-B23)/B23,=(F23-E23)/E23
3,INSTITUTOS PROFESIONALES,224339,267766,301156,332147,357575,=(F24-B24)/B24,=(F24-E24)/E24
4,Pregrado,224301,260692,293519,324579,351184,=(F25-B25)/B25,=(F25-E25)/E25
5,Postitulo,38,7074,7637,7568,6391,=(F26-B26)/B26,=(F26-E26)/E26
6,UNIVERSIDADES CRUCH,310890,309333,311775,326040,333549,=(F27-B27)/B27,=(F27-E27)/E27
7,Pregrado,281686,282588,282879,295662,301336,=(F28-B28)/B28,=(F28-E28)/E28
8,Posgrado,21513,20032,23193,24182,25194,=(F29-B29)/B29,=(F29-E29)/E29
9,Postitulo,7691,6713,5703,6196,7019,=(F30-B30)/B30,=(F30-E30)/E30
10,UNIVERSIDADES PRIVADAS,322120,353718,374150,381894,376305,=(F31-B31)/B31,=(F31-E31)/E31
11,Pregrado,303785,333535,348491,349693,344103,=(F32-B32)/B32,=(F32-E32)/E32
12,Posgrado,11872,14370,18008,22544,21612,=(F33-B33)/B33,=(F33-E33)/E33
13,Postitulo,6463,5813,7651,9657,10590,=(F34-B34)/B34,=(F34-E34)/E34
14,Total general,=SUM(B21+B24+B27+B31),=SUM(C21+C24+C27+C31),=SUM(D21+D24+D27+D31),=SUM(E21+E24+E27+E31),=SUM(F21+F24+F27+F31),=(F35-B35)/B35,=(F35-E35)/E35
